drug,event,is_anomaly,anomaly_score,count,prr,death_rate
Pembrolizumab,Cardiomyopathy,No,0.4172,1,1.316,100.0%
Pembrolizumab,Hypothyroidism,Yes,0.6221,9,12.274,0.0%
Pembrolizumab,Adrenal insufficiency,Yes,0.5884,10,9.278,0.0%
Pembrolizumab,Tumour lysis syndrome,No,0.4293,3,2.305,33.3%
Pembrolizumab,Renal failure,No,0.4812,8,1.829,25.0%
Pembrolizumab,Type 1 diabetes mellitus,Yes,0.5666,2,46.119,0.0%
Pembrolizumab,Metabolic disorder,No,0.3745,1,6.582,0.0%
Pembrolizumab,Oesophagitis,No,0.3632,1,2.194,0.0%
Pembrolizumab,Colitis,Yes,0.5551,13,3.045,7.7%
Pembrolizumab,Generalised oedema,No,0.4011,2,7.094,0.0%
Pembrolizumab,Fatigue,Yes,0.7289,57,2.120,3.5%
Pembrolizumab,Diarrhoea,Yes,0.6635,32,1.126,12.5%
Pembrolizumab,Pruritus,Yes,0.6941,28,5.571,3.6%
Pembrolizumab,Peripheral motor neuropathy,No,0.4043,2,7.685,0.0%
Pembrolizumab,Hypopituitarism,Yes,0.5599,5,16.509,0.0%
Pembrolizumab,Gastrointestinal disorder,No,0.3840,2,1.396,0.0%
Pembrolizumab,Drug-induced liver injury,No,0.3815,2,2.974,0.0%
Pembrolizumab,Guillain-Barre syndrome,No,0.4284,2,13.176,0.0%
Pembrolizumab,Autoimmune hepatitis,Yes,0.6096,9,14.905,0.0%
Pembrolizumab,Iritis,No,0.4535,1,23.040,0.0%
Pembrolizumab,Autoimmune haemolytic anaemia,No,0.4365,2,5.424,50.0%
Pembrolizumab,Malignant neoplasm progression,Yes,0.6458,24,1.675,87.5%
Pembrolizumab,Pneumonitis,Yes,0.5801,15,3.688,26.7%
Pembrolizumab,Pyrexia,Yes,0.6289,26,1.531,11.5%
Pembrolizumab,Osteolysis,No,0.3937,1,9.215,0.0%
Pembrolizumab,Lichenoid keratosis,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Somnolence,No,0.4523,2,1.110,0.0%
Pembrolizumab,Eyelid oedema,No,0.3639,1,4.188,0.0%
Pembrolizumab,Headache,Yes,0.5646,13,1.790,0.0%
Pembrolizumab,Meningitis aseptic,No,0.3741,1,5.759,0.0%
Pembrolizumab,Pneumonitis chemical,No,0.4249,1,0.000,0.0%
Pembrolizumab,Hepatic function abnormal,No,0.3675,1,0.708,0.0%
Pembrolizumab,Death,Yes,0.6592,28,0.880,100.0%
Pembrolizumab,Dehydration,No,0.4842,7,0.789,42.9%
Pembrolizumab,Large intestine perforation,No,0.3632,1,1.486,0.0%
Pembrolizumab,Arthralgia,Yes,0.6281,16,3.034,0.0%
Pembrolizumab,Rash,Yes,0.6029,16,1.086,0.0%
Pembrolizumab,Alanine aminotransferase increased,Yes,0.6101,16,4.458,0.0%
Pembrolizumab,Muscle necrosis,No,0.4249,1,0.000,0.0%
Pembrolizumab,Small intestinal perforation,No,0.4622,2,18.446,0.0%
Pembrolizumab,Sepsis,Yes,0.4982,9,1.500,33.3%
Pembrolizumab,Hyponatraemia,Yes,0.5563,12,4.420,8.3%
Pembrolizumab,Dyspnoea,Yes,0.6069,20,1.491,35.0%
Pembrolizumab,Interstitial lung disease,No,0.4699,6,1.709,50.0%
Pembrolizumab,Pneumonia aspiration,No,0.4211,2,2.974,50.0%
Pembrolizumab,Aspartate aminotransferase increased,Yes,0.6246,17,5.109,5.9%
Pembrolizumab,Lung infiltration,No,0.3632,1,2.194,0.0%
Pembrolizumab,Cholecystitis,No,0.3972,2,6.587,0.0%
Pembrolizumab,Thrombosis,No,0.4154,2,0.980,50.0%
Pembrolizumab,Thrombocytopenia,No,0.4714,6,0.596,0.0%
Pembrolizumab,Decreased appetite,Yes,0.5556,13,1.093,7.7%
Pembrolizumab,Acute kidney injury,Yes,0.5009,8,3.334,12.5%
Pembrolizumab,Asthenia,No,0.4866,6,0.528,50.0%
Pembrolizumab,Liver function test abnormal,No,0.4215,2,2.195,50.0%
Pembrolizumab,Occult blood positive,Yes,0.5892,1,46.080,100.0%
Pembrolizumab,Disease progression,Yes,0.6021,15,0.827,73.3%
Pembrolizumab,Anaemia,Yes,0.6777,33,2.675,30.3%
Pembrolizumab,Haemorrhagic stroke,No,0.4471,1,7.679,100.0%
Pembrolizumab,Facial bones fracture,No,0.4905,1,15.360,100.0%
Pembrolizumab,Escherichia bacteraemia,No,0.4277,1,4.607,100.0%
Pembrolizumab,Pulmonary embolism,No,0.4560,6,1.397,50.0%
Pembrolizumab,Squamous cell carcinoma,No,0.3873,2,3.415,0.0%
Pembrolizumab,Hepatic failure,No,0.4569,2,2.363,100.0%
Pembrolizumab,Pneumonia,Yes,0.5692,17,1.501,23.5%
Pembrolizumab,Lower respiratory tract infection,No,0.4693,3,4.773,66.7%
Pembrolizumab,Tubulointerstitial nephritis,No,0.3636,1,3.544,0.0%
Pembrolizumab,Hypoalbuminaemia,No,0.4600,2,3.688,0.0%
Pembrolizumab,Haemoptysis,No,0.4333,3,3.459,33.3%
Pembrolizumab,Hepatitis,Yes,0.5890,9,10.699,0.0%
Pembrolizumab,Abscess neck,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Infection,No,0.4353,3,0.639,33.3%
Pembrolizumab,Rectal haemorrhage,No,0.3809,2,1.617,0.0%
Pembrolizumab,Nausea,Yes,0.6770,36,1.221,16.7%
Pembrolizumab,Diarrhoea haemorrhagic,No,0.4622,2,18.446,0.0%
Pembrolizumab,Abdominal pain,Yes,0.5432,13,1.812,15.4%
Pembrolizumab,Haemorrhage,No,0.3676,1,0.677,0.0%
Pembrolizumab,Hypotension,No,0.4736,7,1.560,0.0%
Pembrolizumab,Tachycardia,No,0.4513,1,0.575,0.0%
Pembrolizumab,Dizziness,No,0.4611,2,0.260,0.0%
Pembrolizumab,Hot flush,No,0.4441,1,1.439,0.0%
Pembrolizumab,Pain,No,0.4961,5,0.772,20.0%
Pembrolizumab,Feeling cold,No,0.4454,1,3.071,0.0%
Pembrolizumab,Chronic obstructive pulmonary disease,No,0.3660,1,1.001,0.0%
Pembrolizumab,Pathological fracture,No,0.3639,1,3.839,0.0%
Pembrolizumab,Pleural effusion,No,0.4888,8,1.718,12.5%
Pembrolizumab,Thoracic vertebral fracture,No,0.3988,1,11.519,0.0%
Pembrolizumab,Lymphangitis,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Vomiting,Yes,0.5702,16,0.870,31.2%
Pembrolizumab,Infusion related reaction,No,0.4531,2,0.713,0.0%
Pembrolizumab,Rectal cancer,No,0.3937,1,9.215,0.0%
Pembrolizumab,Cholangitis,No,0.3639,1,3.839,0.0%
Pembrolizumab,Diverticulitis,No,0.3807,2,2.248,0.0%
Pembrolizumab,Leukocytosis,No,0.3634,1,1.396,0.0%
Pembrolizumab,Central nervous system neoplasm,No,0.4249,1,0.000,0.0%
Pembrolizumab,Cardiac failure congestive,No,0.3853,2,1.166,0.0%
Pembrolizumab,Autoimmune pancreatitis,No,0.4535,1,23.040,0.0%
Pembrolizumab,Hepatotoxicity,No,0.4141,2,2.195,50.0%
Pembrolizumab,Gastritis,No,0.3818,2,2.363,0.0%
Pembrolizumab,Gastrooesophageal reflux disease,No,0.4487,2,1.440,0.0%
Pembrolizumab,Hepatitis cholestatic,Yes,0.5218,1,23.040,100.0%
Pembrolizumab,Urinary retention,Yes,0.5194,4,11.546,25.0%
Pembrolizumab,Arthritis,No,0.3635,1,1.316,0.0%
Pembrolizumab,Intestinal obstruction,No,0.3827,2,1.589,0.0%
Pembrolizumab,Seizure,No,0.4289,3,3.008,33.3%
Pembrolizumab,Confusional state,No,0.4764,7,2.200,14.3%
Pembrolizumab,Fall,No,0.4318,3,0.784,33.3%
Pembrolizumab,Urticaria,Yes,0.5154,5,3.298,0.0%
Pembrolizumab,Rash generalised,No,0.4835,2,1.920,50.0%
Pembrolizumab,Syncope,No,0.4091,3,1.425,0.0%
Pembrolizumab,Blood creatine phosphokinase increased,No,0.3631,1,1.919,0.0%
Pembrolizumab,Muscular weakness,No,0.4360,5,1.816,0.0%
Pembrolizumab,Dysuria,No,0.3638,1,1.245,0.0%
Pembrolizumab,Cellulitis,No,0.4447,4,3.483,25.0%
Pembrolizumab,Hyperbilirubinaemia,No,0.3834,2,4.009,0.0%
Pembrolizumab,Myoclonus,No,0.3988,1,11.519,0.0%
Pembrolizumab,Nasopharyngitis,No,0.4539,1,0.541,0.0%
Pembrolizumab,Vision blurred,No,0.4549,1,0.455,0.0%
Pembrolizumab,Cough,No,0.4742,5,0.951,0.0%
Pembrolizumab,Sinusitis,No,0.4337,2,1.706,0.0%
Pembrolizumab,Lung infection,No,0.4287,3,2.231,33.3%
Pembrolizumab,Hypokalaemia,No,0.4685,4,1.922,0.0%
Pembrolizumab,Atrial fibrillation,No,0.4444,5,1.364,20.0%
Pembrolizumab,Vasculitis,No,0.3610,1,2.710,0.0%
Pembrolizumab,Viral infection,No,0.3641,1,2.424,0.0%
Pembrolizumab,Hypophysitis,No,0.4726,4,5.432,0.0%
Pembrolizumab,Central nervous system lesion,No,0.3667,1,3.071,0.0%
Pembrolizumab,Drug withdrawal maintenance therapy,No,0.4249,1,0.000,0.0%
Pembrolizumab,Rash maculo-papular,Yes,0.7028,16,15.875,6.2%
Pembrolizumab,Pollakiuria,No,0.3638,1,1.181,0.0%
Pembrolizumab,Haematuria,No,0.4503,2,1.396,0.0%
Pembrolizumab,Peripheral sensory neuropathy,No,0.3634,1,1.396,0.0%
Pembrolizumab,Constipation,Yes,0.5114,8,0.883,25.0%
Pembrolizumab,Anaphylactic reaction,No,0.3693,1,1.396,0.0%
Pembrolizumab,Squamous cell carcinoma of skin,No,0.4455,1,2.424,0.0%
Pembrolizumab,Neoplasm malignant,No,0.4856,2,1.645,50.0%
Pembrolizumab,Vitiligo,Yes,0.7347,5,115.590,0.0%
Pembrolizumab,Polyneuropathy,No,0.3972,2,6.587,0.0%
Pembrolizumab,Pancreatitis,No,0.4631,5,4.714,0.0%
Pembrolizumab,Myalgia,No,0.4866,4,1.440,0.0%
Pembrolizumab,Iridocyclitis,Yes,0.6546,2,92.239,0.0%
Pembrolizumab,Septic shock,No,0.3670,1,0.469,0.0%
Pembrolizumab,Pericardial effusion,No,0.3858,2,1.440,0.0%
Pembrolizumab,Hyperthyroidism,No,0.4518,3,4.773,0.0%
Pembrolizumab,Pancreatic enzymes increased,No,0.3745,1,6.582,0.0%
Pembrolizumab,General physical health deterioration,Yes,0.4974,8,2.587,37.5%
Pembrolizumab,Cytokine release syndrome,No,0.3688,1,0.224,0.0%
Pembrolizumab,Dermatitis,No,0.3638,1,1.279,0.0%
Pembrolizumab,Blood corticotrophin decreased,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Psoriatic arthropathy,No,0.4249,1,0.000,0.0%
Pembrolizumab,Abscess limb,No,0.4535,1,23.040,0.0%
Pembrolizumab,Dry mouth,No,0.4213,2,1.355,50.0%
Pembrolizumab,Dry skin,No,0.4883,2,0.682,50.0%
Pembrolizumab,Blood alkaline phosphatase increased,Yes,0.5115,6,4.782,16.7%
Pembrolizumab,Blood bilirubin increased,No,0.4716,6,4.333,0.0%
Pembrolizumab,Staphylococcal bacteraemia,No,0.4277,1,4.607,100.0%
Pembrolizumab,Hydrocephalus,No,0.4043,2,7.685,0.0%
Pembrolizumab,Enteritis,No,0.4804,2,8.384,0.0%
Pembrolizumab,Lymphocyte count decreased,Yes,0.6288,6,14.609,0.0%
Pembrolizumab,Mucosal inflammation,No,0.4912,3,1.181,33.3%
