drug_event_pair,drug,event,is_anomaly,anomaly_score,count,prr,ror,chi2,serious_rate,death_rate,hosp_rate,life_threat_rate,disable_rate
Epcoritamab||Diffuse large B-cell lymphoma,Epcoritamab,Diffuse large B-cell lymphoma,True,0.7721237563324798,109.0,703.9323065902578,703.9323065902579,3602.134874695365,1.0,0.5229357798165137,0.1834862385321101,0.027522935779816515,0.0
Epcoritamab||Cytokine release syndrome,Epcoritamab,Cytokine release syndrome,True,0.7659965305459057,202.0,2096.5445126630852,2096.5445126630852,6919.788805770606,0.9900990099009901,0.38613861386138615,0.32673267326732675,0.10891089108910891,0.0049504950495049506
Rucaparib||Underdose,Rucaparib,Underdose,True,0.7647781425988449,68.0,1368.4321034613922,1368.4321034613922,1248.983335188774,0.5882352941176471,0.029411764705882353,0.3235294117647059,0.0,0.0
Talazoparib||Neoplasm progression,Talazoparib,Neoplasm progression,True,0.7645413214916482,76.0,93.94290909090908,93.9429090909091,2204.7864474366957,0.631578947368421,0.4342105263157895,0.23684210526315788,0.07894736842105263,0.0
Rucaparib||Prescribed underdose,Rucaparib,Prescribed underdose,True,0.7624557959080352,54.0,360.29965947786604,360.29965947786604,949.4860975075528,0.48148148148148145,0.018518518518518517,0.12962962962962962,0.0,0.0
Abemaciclib||Diarrhoea,Abemaciclib,Diarrhoea,True,0.7386119563751423,194.0,8.450965476072522,8.450965476072522,882.1338193967019,0.23195876288659795,0.010309278350515464,0.12371134020618557,0.010309278350515464,0.0
Cetuximab||Rash,Cetuximab,Rash,True,0.7373202849589808,95.0,10.97345283824157,10.97345283824157,645.2094205586245,0.1368421052631579,0.0,0.010526315789473684,0.0,0.0
Crizotinib||Lung neoplasm malignant,Crizotinib,Lung neoplasm malignant,True,0.7323105495754986,49.0,55.73134422110553,55.73134422110553,1110.7944359948679,0.46938775510204084,0.42857142857142855,0.08163265306122448,0.0,0.0
Pomalidomide||Plasma cell myeloma,Pomalidomide,Plasma cell myeloma,True,0.7308431834928186,67.0,25.191103493081574,25.19110349308157,977.6717663668034,0.9552238805970149,0.6716417910447762,0.1791044776119403,0.0,0.014925373134328358
Niraparib||Insomnia,Niraparib,Insomnia,True,0.7288330791207114,74.0,13.633918909423091,13.633918909423091,448.20416090106994,0.527027027027027,0.0,0.21621621621621623,0.08108108108108109,0.0
Rucaparib||Dysgeusia,Rucaparib,Dysgeusia,True,0.7261193612130026,90.0,19.19156925685906,19.191569256859065,731.6626601741572,0.5111111111111111,0.022222222222222223,0.28888888888888886,0.0,0.0
