target_drug,count,serious_rate,longterm_rate,infection_rate,malignancy_rate,median_time
Cetuximab,206,1.689,0.015,0.005,0.01,0.0
Rucaparib,641,1.457,0.031,0.009,0.022,13.0
Abemaciclib,285,1.393,0.06,0.035,0.025,0.0
Crizotinib,260,1.381,0.069,0.019,0.05,6.5
Ribociclib,267,1.277,0.075,0.052,0.022,1.0
Epcoritamab,262,1.26,0.126,0.057,0.069,0.0
Palbociclib,296,1.25,0.108,0.051,0.057,14.0
Olaparib,359,1.226,0.058,0.028,0.031,0.0
Pembrolizumab,228,1.193,0.096,0.061,0.035,24.0
Osimertinib,274,1.19,0.102,0.047,0.055,1.0
Dabrafenib,290,1.103,0.059,0.024,0.034,4.5
Talazoparib,237,1.097,0.186,0.122,0.063,25.0
Lenalidomide,264,1.083,0.163,0.087,0.076,0.0
Rituximab,466,1.06,0.101,0.079,0.021,0.0
Docetaxel,379,1.05,0.1,0.069,0.032,0.0
Carboplatin,323,1.034,0.115,0.059,0.056,0.0
Trastuzumab,360,1.028,0.069,0.039,0.031,0.0
Ibrutinib,266,1.026,0.071,0.056,0.015,26.0
Durvalumab,208,1.024,0.149,0.101,0.048,33.0
Imatinib,452,1.022,0.066,0.024,0.042,0.0
Cisplatin,354,1.014,0.079,0.045,0.034,0.0
Bevacizumab,354,1.011,0.071,0.037,0.034,0.0
Pomalidomide,219,1.009,0.155,0.055,0.1,16.0
Gefitinib,375,1.008,0.099,0.051,0.048,25.0
Atezolizumab,186,1.005,0.118,0.118,0.0,51.0
Paclitaxel,365,1.005,0.09,0.03,0.06,0.0
Nivolumab,245,1.004,0.069,0.033,0.037,45.0
Niraparib,528,1.002,0.027,0.021,0.006,10.0
Doxorubicin,467,1.002,0.133,0.101,0.032,0.0
Ipilimumab,316,1.0,0.076,0.047,0.028,39.0
Erlotinib,304,1.0,0.059,0.013,0.046,0.0
Carfilzomib,195,1.0,0.164,0.097,0.067,1.0
Bortezomib,503,1.0,0.117,0.076,0.042,0.0
Vemurafenib,300,1.0,0.05,0.013,0.037,14.0
Venetoclax,238,1.0,0.197,0.185,0.013,16.0
