drug,event,count,anomaly_score,prr,ror,chi2,serious_rate,death_rate,hosp_rate,rarity_score,reasons
Pembrolizumab,Pneumonitis,15,145,3.688,3.688,26.22,0.800,0.267,0.733,8.218,PRR=3.69 (显著关联); χ²=26.2 (统计显著); 死亡率=26.7%; 严重事件率=80.0%; 罕见+严重; 住院率=73.3%
Nivolumab,Confusional state,10,145,3.169,3.169,13.43,1.000,0.400,1.000,8.623,PRR=3.17 (显著关联); χ²=13.4 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Nivolumab,Pancreatitis,6,145,5.695,5.695,20.08,1.000,0.333,1.000,9.134,PRR=5.70 (显著关联); χ²=20.1 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Nivolumab,Hypercalcaemia,5,145,6.697,6.697,20.57,1.000,0.600,1.000,9.317,PRR=6.70 (显著关联); χ²=20.6 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Nivolumab,Aspartate aminotransferase increased,18,145,5.369,5.369,55.07,1.000,0.500,0.722,8.036,PRR=5.37 (显著关联); χ²=55.1 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=72.2%
Nivolumab,Blood bilirubin increased,6,145,4.270,4.270,13.36,1.000,0.500,1.000,9.134,PRR=4.27 (显著关联); χ²=13.4 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Nivolumab,Hypothyroidism,10,145,13.857,13.857,88.78,0.800,0.300,0.600,8.623,PRR=13.86 (显著关联); χ²=88.8 (统计显著); 死亡率=30.0%; 严重事件率=80.0%; 罕见+严重; 住院率=60.0%
Nivolumab,Acute kidney injury,12,145,5.130,5.130,34.68,1.000,0.333,0.917,8.441,PRR=5.13 (显著关联); χ²=34.7 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=91.7%
Nivolumab,Hypopituitarism,7,145,26.618,26.618,106.01,1.000,0.286,1.000,8.980,PRR=26.62 (显著关联); χ²=106.0 (统计显著); 死亡率=28.6%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Nivolumab,Blood alkaline phosphatase increased,8,145,6.519,6.519,31.76,1.000,0.750,0.750,8.847,PRR=6.52 (显著关联); χ²=31.8 (统计显著); 死亡率=75.0%; 严重事件率=100.0%; 罕见+严重; 住院率=75.0%
Nivolumab,Hepatic function abnormal,10,145,8.162,8.162,51.69,1.000,0.800,0.500,8.623,PRR=8.16 (显著关联); χ²=51.7 (统计显著); 死亡率=80.0%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Nivolumab,Gamma-glutamyltransferase increased,7,145,11.405,11.405,51.68,1.000,1.000,0.714,8.980,PRR=11.40 (显著关联); χ²=51.7 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重; 住院率=71.4%
Atezolizumab,Hyperglycaemia,9,145,6.915,6.915,39.53,1.000,0.222,1.000,8.729,PRR=6.92 (显著关联); χ²=39.5 (统计显著); 死亡率=22.2%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Atezolizumab,Mental status changes,5,145,7.178,7.178,23.09,1.000,0.800,1.000,9.317,PRR=7.18 (显著关联); χ²=23.1 (统计显著); 死亡率=80.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Atezolizumab,Autoimmune hepatitis,7,145,13.429,13.429,63.66,1.000,0.429,1.000,8.980,PRR=13.43 (显著关联); χ²=63.7 (统计显著); 死亡率=42.9%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Atezolizumab,Transaminases increased,5,145,4.415,4.415,11.98,1.000,0.400,0.800,9.317,PRR=4.42 (显著关联); χ²=12.0 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Atezolizumab,Pneumonitis,14,145,4.260,4.260,31.39,1.000,0.429,0.857,8.287,PRR=4.26 (显著关联); χ²=31.4 (统计显著); 死亡率=42.9%; 严重事件率=100.0%; 罕见+严重; 住院率=85.7%
Atezolizumab,Acute respiratory failure,5,145,10.636,10.636,35.99,1.000,0.600,1.000,9.317,PRR=10.64 (显著关联); χ²=36.0 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Durvalumab,Myocarditis,9,145,47.043,47.043,196.97,1.000,0.333,0.889,8.729,PRR=47.04 (显著关联); χ²=197.0 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=88.9%
Durvalumab,Enterocolitis,5,145,9.373,9.373,30.37,1.000,0.800,0.800,9.317,PRR=9.37 (显著关联); χ²=30.4 (统计显著); 死亡率=80.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Ipilimumab,Intestinal perforation,13,145,14.088,14.088,113.76,1.000,0.385,0.692,8.361,PRR=14.09 (显著关联); χ²=113.8 (统计显著); 死亡率=38.5%; 严重事件率=100.0%; 罕见+严重; 住院率=69.2%
Ipilimumab,Confusional state,10,145,2.848,2.848,10.83,0.900,0.400,0.700,8.623,PRR=2.85 (显著关联); χ²=10.8 (统计显著); 死亡率=40.0%; 严重事件率=90.0%; 罕见+严重; 住院率=70.0%
Ipilimumab,Hyponatraemia,11,145,3.556,3.556,17.96,1.000,0.273,0.818,8.528,PRR=3.56 (显著关联); χ²=18.0 (统计显著); 死亡率=27.3%; 严重事件率=100.0%; 罕见+严重; 住院率=81.8%
Ipilimumab,Muscular weakness,10,145,3.363,3.363,14.83,1.000,0.300,1.000,8.623,PRR=3.36 (显著关联); χ²=14.8 (统计显著); 死亡率=30.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Ipilimumab,Peritonitis,5,145,8.901,8.901,28.00,1.000,0.600,0.800,9.317,PRR=8.90 (显著关联); χ²=28.0 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Trastuzumab,Balance disorder,6,145,3.731,3.731,10.17,1.000,0.333,0.500,9.134,PRR=3.73 (显著关联); χ²=10.2 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Bevacizumab,Ascites,12,145,4.407,4.407,26.55,1.000,0.500,0.417,8.441,PRR=4.41 (显著关联); χ²=26.6 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=41.7%
Bevacizumab,Epistaxis,12,145,3.426,3.426,17.81,1.000,0.250,0.417,8.441,PRR=3.43 (显著关联); χ²=17.8 (统计显著); 死亡率=25.0%; 严重事件率=100.0%; 罕见+严重; 住院率=41.7%
Rituximab,Bronchopneumonia,5,145,14.956,14.956,40.25,1.000,0.400,1.000,9.317,PRR=14.96 (显著关联); χ²=40.2 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Rituximab,Cytomegalovirus infection,9,145,8.989,8.989,45.97,1.000,0.222,0.556,8.729,PRR=8.99 (显著关联); χ²=46.0 (统计显著); 死亡率=22.2%; 严重事件率=100.0%; 罕见+严重; 住院率=55.6%
Rituximab,Sinusitis,7,145,3.847,3.847,12.39,0.857,0.286,0.714,8.980,PRR=3.85 (显著关联); χ²=12.4 (统计显著); 死亡率=28.6%; 严重事件率=85.7%; 罕见+严重; 住院率=71.4%
Epcoritamab,Hospitalisation,14,145,14.504,14.504,121.11,1.000,0.286,1.000,8.287,PRR=14.50 (显著关联); χ²=121.1 (统计显著); 死亡率=28.6%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Epcoritamab,Bacteraemia,5,145,10.604,10.604,32.58,1.000,0.400,0.600,9.317,PRR=10.60 (显著关联); χ²=32.6 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Epcoritamab,Neurotoxicity,6,145,10.823,10.823,39.86,1.000,0.667,0.667,9.134,PRR=10.82 (显著关联); χ²=39.9 (统计显著); 死亡率=66.7%; 严重事件率=100.0%; 罕见+严重; 住院率=66.7%
Epcoritamab,Cytomegalovirus infection,14,145,23.080,23.080,174.13,1.000,0.357,0.571,8.287,PRR=23.08 (显著关联); χ²=174.1 (统计显著); 死亡率=35.7%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Epcoritamab,Hypogammaglobulinaemia,8,145,36.133,36.133,132.22,1.000,0.375,0.500,8.847,PRR=36.13 (显著关联); χ²=132.2 (统计显著); 死亡率=37.5%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Imatinib,Myocardial infarction,9,145,3.025,3.025,10.47,0.889,0.444,0.444,8.729,PRR=3.02 (显著关联); χ²=10.5 (统计显著); 死亡率=44.4%; 严重事件率=88.9%; 罕见+严重; 住院率=44.4%
Erlotinib,Neoplasm,5,145,4.432,4.432,11.36,1.000,0.400,0.600,9.317,PRR=4.43 (显著关联); χ²=11.4 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Erlotinib,Haemoptysis,6,145,5.466,5.466,18.21,1.000,0.333,0.667,9.134,PRR=5.47 (显著关联); χ²=18.2 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=66.7%
Erlotinib,Eye irritation,9,145,43.439,43.439,157.63,1.000,0.222,0.444,8.729,PRR=43.44 (显著关联); χ²=157.6 (统计显著); 死亡率=22.2%; 严重事件率=100.0%; 罕见+严重; 住院率=44.4%
Erlotinib,Pulmonary embolism,14,145,2.489,2.489,11.14,1.000,0.357,0.571,8.287,PRR=2.49 (显著关联); χ²=11.1 (统计显著); 死亡率=35.7%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Gefitinib,Gastrointestinal haemorrhage,9,145,5.794,5.794,29.54,1.000,0.333,0.667,8.729,PRR=5.79 (显著关联); χ²=29.5 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=66.7%
Gefitinib,Malignant pleural effusion,5,145,13.346,13.346,39.95,1.000,0.400,0.600,9.317,PRR=13.35 (显著关联); χ²=39.9 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Gefitinib,Metastases to meninges,6,145,18.941,18.941,63.86,1.000,0.333,0.500,9.134,PRR=18.94 (显著关联); χ²=63.9 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Gefitinib,Lung disorder,8,145,4.792,4.792,20.37,1.000,0.500,0.625,8.847,PRR=4.79 (显著关联); χ²=20.4 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=62.5%
Osimertinib,Weight decreased,17,145,2.299,2.299,11.21,0.882,0.353,0.412,8.093,PRR=2.30 (显著关联); χ²=11.2 (统计显著); 死亡率=35.3%; 严重事件率=88.2%; 罕见+严重; 住院率=41.2%
Osimertinib,Pulmonary embolism,14,145,2.589,2.589,12.21,1.000,0.500,0.857,8.287,PRR=2.59 (显著关联); χ²=12.2 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=85.7%
Osimertinib,Cardiac failure,8,145,3.152,3.152,10.41,0.875,0.250,0.500,8.847,PRR=3.15 (显著关联); χ²=10.4 (统计显著); 死亡率=25.0%; 严重事件率=87.5%; 罕见+严重; 住院率=50.0%
Osimertinib,Pneumonitis,15,145,2.791,2.791,15.32,1.000,0.533,0.733,8.218,PRR=2.79 (显著关联); χ²=15.3 (统计显著); 死亡率=53.3%; 严重事件率=100.0%; 罕见+严重; 住院率=73.3%
Crizotinib,Hypoxia,9,145,4.713,4.713,23.04,1.000,0.333,1.000,8.729,PRR=4.71 (显著关联); χ²=23.0 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Crizotinib,Posterior reversible encephalopathy syndrome,6,145,10.982,10.982,42.35,1.000,0.333,0.833,9.134,PRR=10.98 (显著关联); χ²=42.4 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=83.3%
Paclitaxel,General physical health deterioration,14,145,2.971,2.971,15.89,1.000,0.357,0.857,8.287,PRR=2.97 (显著关联); χ²=15.9 (统计显著); 死亡率=35.7%; 严重事件率=100.0%; 罕见+严重; 住院率=85.7%
Paclitaxel,Mucosal inflammation,12,145,3.228,3.228,15.92,1.000,0.833,0.667,8.441,PRR=3.23 (显著关联); χ²=15.9 (统计显著); 死亡率=83.3%; 严重事件率=100.0%; 罕见+严重; 住院率=66.7%
Paclitaxel,Hypophagia,7,145,3.905,3.905,12.83,1.000,1.000,0.571,8.980,PRR=3.90 (显著关联); χ²=12.8 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Paclitaxel,Oropharyngeal pain,8,145,3.627,3.627,13.01,1.000,1.000,0.625,8.847,PRR=3.63 (显著关联); χ²=13.0 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重; 住院率=62.5%
Paclitaxel,Oral candidiasis,11,145,15.999,15.999,95.85,1.000,0.818,0.545,8.528,PRR=16.00 (显著关联); χ²=95.8 (统计显著); 死亡率=81.8%; 严重事件率=100.0%; 罕见+严重; 住院率=54.5%
Docetaxel,Leukopenia,13,145,3.611,3.611,20.76,1.000,0.231,0.538,8.361,PRR=3.61 (显著关联); χ²=20.8 (统计显著); 死亡率=23.1%; 严重事件率=100.0%; 罕见+严重; 住院率=53.8%
Docetaxel,Prostate cancer,6,145,8.233,8.233,28.20,1.000,0.833,0.500,9.134,PRR=8.23 (显著关联); χ²=28.2 (统计显著); 死亡率=83.3%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Carboplatin,Haemolytic anaemia,6,145,5.870,5.870,18.72,1.000,0.500,0.833,9.134,PRR=5.87 (显著关联); χ²=18.7 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=83.3%
Cisplatin,Condition aggravated,6,145,4.556,4.556,13.72,1.000,0.333,0.500,9.134,PRR=4.56 (显著关联); χ²=13.7 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Cisplatin,Rhabdomyolysis,5,145,7.591,7.591,21.54,1.000,1.000,0.600,9.317,PRR=7.59 (显著关联); χ²=21.5 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Cisplatin,Drug interaction,8,145,4.377,4.377,17.24,1.000,0.500,0.625,8.847,PRR=4.38 (显著关联); χ²=17.2 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重; 住院率=62.5%
Lenalidomide,Myelodysplastic syndrome,7,145,5.323,5.323,21.43,1.000,0.286,0.571,8.980,PRR=5.32 (显著关联); χ²=21.4 (统计显著); 死亡率=28.6%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Lenalidomide,Pulmonary embolism,12,145,2.905,2.905,13.62,1.000,0.250,0.750,8.441,PRR=2.90 (显著关联); χ²=13.6 (统计显著); 死亡率=25.0%; 严重事件率=100.0%; 罕见+严重; 住院率=75.0%
Lenalidomide,Deep vein thrombosis,16,145,7.627,7.627,76.32,1.000,0.312,0.500,8.153,PRR=7.63 (显著关联); χ²=76.3 (统计显著); 死亡率=31.2%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Lenalidomide,Syncope,7,145,3.489,3.489,11.23,1.000,0.429,0.571,8.980,PRR=3.49 (显著关联); χ²=11.2 (统计显著); 死亡率=42.9%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Pomalidomide,Cardiac failure congestive,6,145,4.142,4.142,12.90,1.000,0.333,0.500,9.134,PRR=4.14 (显著关联); χ²=12.9 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Bortezomib,Renal failure acute,12,145,3.249,3.249,16.35,1.000,0.333,0.833,8.441,PRR=3.25 (显著关联); χ²=16.3 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=83.3%
Carfilzomib,Tumour lysis syndrome,5,145,4.099,4.099,10.51,1.000,0.800,0.800,9.317,PRR=4.10 (显著关联); χ²=10.5 (统计显著); 死亡率=80.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Carfilzomib,Renal failure,13,145,3.152,3.152,17.28,1.000,0.385,0.692,8.361,PRR=3.15 (显著关联); χ²=17.3 (统计显著); 死亡率=38.5%; 严重事件率=100.0%; 罕见+严重; 住院率=69.2%
Carfilzomib,Cardiac failure,9,145,4.877,4.877,24.42,1.000,0.778,0.889,8.729,PRR=4.88 (显著关联); χ²=24.4 (统计显著); 死亡率=77.8%; 严重事件率=100.0%; 罕见+严重; 住院率=88.9%
